,City,Country,Date,Latitude,Longitude,Temp,Temp Min,Temp Max,Pressure,Humidity,Clouds,Wind Speed,Max F
0,Inirida,CO,1577650668,3.87,-67.92,27.689999999999998,300.84,300.84,1005,94,97,1.17,81.842
1,Yellowknife,CA,1577650515,62.45,-114.38,-25.70999999999998,247.15,247.59,1020,75,75,5.7,-14.007999999999953
2,Mul,IN,1577650668,20.07,79.68,12.5,285.65,285.65,1015,44,95,1.28,54.5
3,Wajir,KE,1577650668,1.75,40.07,30.28000000000003,303.43,303.43,1008,43,100,2.69,86.50400000000005
4,Jasper,US,1577650668,33.83,-87.28,20.54000000000002,292.04,295.37,1007,100,90,5.62,71.99600000000005
5,Lebu,ET,1577650668,8.96,38.73,15.0,288.15,288.15,1027,54,20,5.1,59.0
6,Mao,DO,1577650669,19.55,-71.08,28.930000000000007,301.48,302.59,1013,66,40,5.7,84.99199999999999
7,Los Lunas,US,1577650669,34.81,-106.76,-1.8599999999999568,268.15,274.26,1016,42,75,6.7,33.998000000000026
8,Mataura,NZ,1577650669,-46.19,168.86,12.78000000000003,285.93,285.93,1014,80,100,5.81,55.004000000000055
9,Castro,CL,1577650421,-42.48,-73.76,21.0,294.15,294.15,1015,52,92,3.6,69.80000000000001
10,Belyy Yar,RU,1577650669,53.6,91.39,-26.99999999999997,246.15,246.15,1028,75,100,0.69,-16.59999999999995
11,Harnosand,SE,1577650669,62.63,17.94,2.420000000000016,271.15,279.26,1002,100,100,1.0,42.998000000000026
12,Port Elizabeth,US,1577650669,39.31,-74.98,8.210000000000036,279.82,283.15,1020,75,90,4.6,50.0
13,Pisco,PE,1577650379,-13.71,-76.2,22.110000000000014,295.15,295.37,1011,30,20,4.1,71.99600000000005
14,Klaksvik,FO,1577650670,62.23,-6.59,8.0,281.15,281.15,998,61,5,9.3,46.4
15,Grindavik,IS,1577650670,63.84,-22.43,2.0,275.15,275.15,993,78,75,6.7,35.6
16,Cayenne,GF,1577650670,4.94,-52.33,29.0,302.15,302.15,1008,70,75,6.2,84.2
17,Butaritari,KI,1577650670,3.07,172.79,28.700000000000045,301.85,301.85,1011,74,94,5.65,83.66000000000008
18,Albany,US,1577650567,42.65,-73.75,3.0100000000000477,274.15,278.15,1021,51,90,0.44,41.0
19,Rikitea,PF,1577650670,-23.12,-134.97,24.810000000000002,297.96,297.96,1017,76,96,3.52,76.65800000000002
